Metric: mean_perp  | Model: gpt2  | Group: control  | Size: 10 - Original N: 205 Clean N: 205 Skewness: 0.226 
Metric: mean_perp  | Model: gpt2  | Group: psychosis  | Size: 30 - Original N: 411 Clean N: 409 Skewness: -0.076 
Metric: sd_perp  | Model: gpt2  | Group: psychosis  | Size: 30 - Original N: 411 Clean N: 404 Skewness: 0.578 
Metric: min_perp  | Model: gpt2  | Group: psychosis  | Size: 30 - Original N: 411 Clean N: 410 Skewness: -0.031 
Metric: max_perp  | Model: gpt2  | Group: psychosis  | Size: 30 - Original N: 411 Clean N: 404 Skewness: 0.883 
Metric: mean_perp  | Model: gpt2  | Group: psychosis  | Size: 40 - Original N: 411 Clean N: 410 Skewness: -0.071 
Metric: sd_perp  | Model: gpt2  | Group: psychosis  | Size: 40 - Original N: 411 Clean N: 407 Skewness: 0.497 
Metric: min_perp  | Model: gpt2  | Group: psychosis  | Size: 40 - Original N: 411 Clean N: 410 Skewness: 0.093 
Metric: max_perp  | Model: gpt2  | Group: psychosis  | Size: 40 - Original N: 411 Clean N: 405 Skewness: 0.649 
Metric: mean_perp  | Model: gpt2  | Group: psychosis  | Size: 50 - Original N: 411 Clean N: 410 Skewness: -0.072 
Metric: sd_perp  | Model: gpt2  | Group: psychosis  | Size: 50 - Original N: 411 Clean N: 408 Skewness: 0.496 
Metric: min_perp  | Model: gpt2  | Group: psychosis  | Size: 50 - Original N: 411 Clean N: 410 Skewness: 0.077 
Metric: max_perp  | Model: gpt2  | Group: psychosis  | Size: 50 - Original N: 411 Clean N: 407 Skewness: 0.495 
Metric: mean_perp  | Model: qwen3  | Group: control  | Size: 10 - Original N: 205 Clean N: 202 Skewness: 0.546 
Metric: sd_perp  | Model: qwen3  | Group: control  | Size: 10 - Original N: 205 Clean N: 199 Skewness: 1.295 
Metric: min_perp  | Model: qwen3  | Group: control  | Size: 10 - Original N: 205 Clean N: 204 Skewness: 0.103 
Metric: max_perp  | Model: qwen3  | Group: control  | Size: 10 - Original N: 205 Clean N: 197 Skewness: 1.605 
Metric: mean_perp  | Model: qwen3  | Group: control  | Size: 20 - Original N: 205 Clean N: 204 Skewness: 0.384 
Metric: sd_perp  | Model: qwen3  | Group: control  | Size: 20 - Original N: 205 Clean N: 202 Skewness: 0.58 
Metric: min_perp  | Model: qwen3  | Group: control  | Size: 20 - Original N: 205 Clean N: 204 Skewness: 0.106 
Metric: max_perp  | Model: qwen3  | Group: control  | Size: 20 - Original N: 205 Clean N: 200 Skewness: 1.313 
Metric: mean_perp  | Model: qwen3  | Group: control  | Size: 30 - Original N: 205 Clean N: 204 Skewness: 0.362 
Metric: sd_perp  | Model: qwen3  | Group: control  | Size: 30 - Original N: 205 Clean N: 203 Skewness: 0.676 
Metric: min_perp  | Model: qwen3  | Group: control  | Size: 30 - Original N: 205 Clean N: 204 Skewness: 0.088 
Metric: max_perp  | Model: qwen3  | Group: control  | Size: 30 - Original N: 205 Clean N: 200 Skewness: 0.991 
Metric: mean_perp  | Model: qwen3  | Group: control  | Size: 40 - Original N: 205 Clean N: 205 Skewness: 0.442 
Metric: sd_perp  | Model: qwen3  | Group: control  | Size: 40 - Original N: 205 Clean N: 202 Skewness: 0.705 
Metric: min_perp  | Model: qwen3  | Group: control  | Size: 40 - Original N: 205 Clean N: 203 Skewness: 0.259 
Metric: max_perp  | Model: qwen3  | Group: control  | Size: 40 - Original N: 205 Clean N: 203 Skewness: 0.81 
Metric: mean_perp  | Model: qwen3  | Group: control  | Size: 50 - Original N: 205 Clean N: 205 Skewness: 0.468 
Metric: sd_perp  | Model: qwen3  | Group: control  | Size: 50 - Original N: 205 Clean N: 202 Skewness: 0.784 
Metric: min_perp  | Model: qwen3  | Group: control  | Size: 50 - Original N: 205 Clean N: 203 Skewness: 0.172 
Metric: max_perp  | Model: qwen3  | Group: control  | Size: 50 - Original N: 205 Clean N: 202 Skewness: 0.778 
Metric: mean_perp  | Model: qwen3  | Group: psychosis  | Size: 10 - Original N: 411 Clean N: 406 Skewness: 0.508 
Metric: sd_perp  | Model: qwen3  | Group: psychosis  | Size: 10 - Original N: 411 Clean N: 403 Skewness: 1.572 
Metric: min_perp  | Model: qwen3  | Group: psychosis  | Size: 10 - Original N: 411 Clean N: 409 Skewness: 0.209 
Metric: max_perp  | Model: qwen3  | Group: psychosis  | Size: 10 - Original N: 411 Clean N: 402 Skewness: 1.879 
Metric: mean_perp  | Model: qwen3  | Group: psychosis  | Size: 20 - Original N: 411 Clean N: 407 Skewness: 0.397 
Metric: sd_perp  | Model: qwen3  | Group: psychosis  | Size: 20 - Original N: 411 Clean N: 406 Skewness: 1.033 
Metric: min_perp  | Model: qwen3  | Group: psychosis  | Size: 20 - Original N: 411 Clean N: 408 Skewness: 0.158 
Metric: max_perp  | Model: qwen3  | Group: psychosis  | Size: 20 - Original N: 411 Clean N: 400 Skewness: 0.995 
Metric: mean_perp  | Model: qwen3  | Group: psychosis  | Size: 30 - Original N: 411 Clean N: 407 Skewness: 0.34 
Metric: sd_perp  | Model: qwen3  | Group: psychosis  | Size: 30 - Original N: 411 Clean N: 407 Skewness: 1.001 
Metric: min_perp  | Model: qwen3  | Group: psychosis  | Size: 30 - Original N: 411 Clean N: 408 Skewness: 0.325 
Metric: max_perp  | Model: qwen3  | Group: psychosis  | Size: 30 - Original N: 411 Clean N: 408 Skewness: 1.112 
Metric: mean_perp  | Model: qwen3  | Group: psychosis  | Size: 40 - Original N: 411 Clean N: 408 Skewness: 0.353 
Metric: sd_perp  | Model: qwen3  | Group: psychosis  | Size: 40 - Original N: 411 Clean N: 405 Skewness: 0.911 
Metric: min_perp  | Model: qwen3  | Group: psychosis  | Size: 40 - Original N: 411 Clean N: 407 Skewness: 0.345 
Metric: max_perp  | Model: qwen3  | Group: psychosis  | Size: 40 - Original N: 411 Clean N: 406 Skewness: 0.872 
Metric: mean_perp  | Model: qwen3  | Group: psychosis  | Size: 50 - Original N: 411 Clean N: 408 Skewness: 0.345 
Metric: sd_perp  | Model: qwen3  | Group: psychosis  | Size: 50 - Original N: 411 Clean N: 406 Skewness: 0.961 
Metric: min_perp  | Model: qwen3  | Group: psychosis  | Size: 50 - Original N: 411 Clean N: 408 Skewness: 0.435 
Metric: max_perp  | Model: qwen3  | Group: psychosis  | Size: 50 - Original N: 411 Clean N: 404 Skewness: 0.962 
Metric: mean_perp  | Model: falcon  | Group: control  | Size: 10 - Original N: 205 Clean N: 204 Skewness: 0.611 
Metric: sd_perp  | Model: falcon  | Group: control  | Size: 10 - Original N: 205 Clean N: 202 Skewness: 0.818 
Metric: min_perp  | Model: falcon  | Group: control  | Size: 10 - Original N: 205 Clean N: 205 Skewness: 0.165 
Metric: max_perp  | Model: falcon  | Group: control  | Size: 10 - Original N: 205 Clean N: 202 Skewness: 1.048 
Metric: mean_perp  | Model: falcon  | Group: control  | Size: 20 - Original N: 205 Clean N: 205 Skewness: 0.764 
Metric: sd_perp  | Model: falcon  | Group: control  | Size: 20 - Original N: 205 Clean N: 202 Skewness: 0.843 
Metric: min_perp  | Model: falcon  | Group: control  | Size: 20 - Original N: 205 Clean N: 205 Skewness: -0.298 
Metric: max_perp  | Model: falcon  | Group: control  | Size: 20 - Original N: 205 Clean N: 202 Skewness: 0.918 
Metric: mean_perp  | Model: falcon  | Group: control  | Size: 30 - Original N: 205 Clean N: 205 Skewness: 0.737 
Metric: sd_perp  | Model: falcon  | Group: control  | Size: 30 - Original N: 205 Clean N: 201 Skewness: 0.831 
Metric: min_perp  | Model: falcon  | Group: control  | Size: 30 - Original N: 205 Clean N: 205 Skewness: 0.03 
Metric: max_perp  | Model: falcon  | Group: control  | Size: 30 - Original N: 205 Clean N: 202 Skewness: 1.07 
Metric: mean_perp  | Model: falcon  | Group: control  | Size: 40 - Original N: 205 Clean N: 204 Skewness: 0.643 
Metric: sd_perp  | Model: falcon  | Group: control  | Size: 40 - Original N: 205 Clean N: 201 Skewness: 0.843 
Metric: min_perp  | Model: falcon  | Group: control  | Size: 40 - Original N: 205 Clean N: 205 Skewness: 0.093 
Metric: max_perp  | Model: falcon  | Group: control  | Size: 40 - Original N: 205 Clean N: 200 Skewness: 1.042 
Metric: mean_perp  | Model: falcon  | Group: control  | Size: 50 - Original N: 205 Clean N: 204 Skewness: 0.622 
Metric: sd_perp  | Model: falcon  | Group: control  | Size: 50 - Original N: 205 Clean N: 201 Skewness: 0.773 
Metric: min_perp  | Model: falcon  | Group: control  | Size: 50 - Original N: 205 Clean N: 204 Skewness: -0.063 
Metric: max_perp  | Model: falcon  | Group: control  | Size: 50 - Original N: 205 Clean N: 199 Skewness: 0.862 
Metric: mean_perp  | Model: falcon  | Group: psychosis  | Size: 10 - Original N: 411 Clean N: 408 Skewness: 0.552 
Metric: sd_perp  | Model: falcon  | Group: psychosis  | Size: 10 - Original N: 411 Clean N: 404 Skewness: 1.07 
Metric: min_perp  | Model: falcon  | Group: psychosis  | Size: 10 - Original N: 411 Clean N: 409 Skewness: -0.066 
Metric: max_perp  | Model: falcon  | Group: psychosis  | Size: 10 - Original N: 411 Clean N: 403 Skewness: 1.292 
Metric: mean_perp  | Model: falcon  | Group: psychosis  | Size: 20 - Original N: 411 Clean N: 408 Skewness: 0.351 
Metric: sd_perp  | Model: falcon  | Group: psychosis  | Size: 20 - Original N: 411 Clean N: 403 Skewness: 0.83 
Metric: min_perp  | Model: falcon  | Group: psychosis  | Size: 20 - Original N: 411 Clean N: 408 Skewness: -0.016 
Metric: max_perp  | Model: falcon  | Group: psychosis  | Size: 20 - Original N: 411 Clean N: 402 Skewness: 1.443 
Metric: mean_perp  | Model: falcon  | Group: psychosis  | Size: 30 - Original N: 411 Clean N: 408 Skewness: 0.302 
Metric: sd_perp  | Model: falcon  | Group: psychosis  | Size: 30 - Original N: 411 Clean N: 403 Skewness: 0.679 
Metric: min_perp  | Model: falcon  | Group: psychosis  | Size: 30 - Original N: 411 Clean N: 408 Skewness: 0.2 
Metric: max_perp  | Model: falcon  | Group: psychosis  | Size: 30 - Original N: 411 Clean N: 407 Skewness: 1.054 
Metric: mean_perp  | Model: falcon  | Group: psychosis  | Size: 40 - Original N: 411 Clean N: 408 Skewness: 0.283 
Metric: sd_perp  | Model: falcon  | Group: psychosis  | Size: 40 - Original N: 411 Clean N: 402 Skewness: 0.55 
Metric: min_perp  | Model: falcon  | Group: psychosis  | Size: 40 - Original N: 411 Clean N: 407 Skewness: 0.426 
Metric: max_perp  | Model: falcon  | Group: psychosis  | Size: 40 - Original N: 411 Clean N: 405 Skewness: 0.822 
Metric: mean_perp  | Model: falcon  | Group: psychosis  | Size: 50 - Original N: 411 Clean N: 408 Skewness: 0.281 
Metric: sd_perp  | Model: falcon  | Group: psychosis  | Size: 50 - Original N: 411 Clean N: 405 Skewness: 0.589 
Metric: min_perp  | Model: falcon  | Group: psychosis  | Size: 50 - Original N: 411 Clean N: 409 Skewness: 0.413 
Metric: max_perp  | Model: falcon  | Group: psychosis  | Size: 50 - Original N: 411 Clean N: 409 Skewness: 0.859 
Metric: mean_perp  | Model: geitje  | Group: control  | Size: 10 - Original N: 205 Clean N: 204 Skewness: 0.766 
Metric: sd_perp  | Model: geitje  | Group: control  | Size: 10 - Original N: 205 Clean N: 200 Skewness: 1.609 
Metric: min_perp  | Model: geitje  | Group: control  | Size: 10 - Original N: 205 Clean N: 204 Skewness: 0.315 
Metric: max_perp  | Model: geitje  | Group: control  | Size: 10 - Original N: 205 Clean N: 199 Skewness: 1.975 
Metric: mean_perp  | Model: geitje  | Group: control  | Size: 20 - Original N: 205 Clean N: 203 Skewness: 0.653 
Metric: sd_perp  | Model: geitje  | Group: control  | Size: 20 - Original N: 205 Clean N: 200 Skewness: 1.025 
Metric: min_perp  | Model: geitje  | Group: control  | Size: 20 - Original N: 205 Clean N: 203 Skewness: -0.154 
Metric: max_perp  | Model: geitje  | Group: control  | Size: 20 - Original N: 205 Clean N: 200 Skewness: 1.384 
Metric: mean_perp  | Model: geitje  | Group: control  | Size: 30 - Original N: 205 Clean N: 203 Skewness: 0.634 
Metric: sd_perp  | Model: geitje  | Group: control  | Size: 30 - Original N: 205 Clean N: 201 Skewness: 0.965 
Metric: min_perp  | Model: geitje  | Group: control  | Size: 30 - Original N: 205 Clean N: 204 Skewness: 0.453 
Metric: max_perp  | Model: geitje  | Group: control  | Size: 30 - Original N: 205 Clean N: 199 Skewness: 1.051 
Metric: mean_perp  | Model: geitje  | Group: control  | Size: 40 - Original N: 205 Clean N: 203 Skewness: 0.64 
Metric: sd_perp  | Model: geitje  | Group: control  | Size: 40 - Original N: 205 Clean N: 200 Skewness: 0.823 
Metric: min_perp  | Model: geitje  | Group: control  | Size: 40 - Original N: 205 Clean N: 203 Skewness: 0.354 
Metric: max_perp  | Model: geitje  | Group: control  | Size: 40 - Original N: 205 Clean N: 202 Skewness: 1.351 
Metric: mean_perp  | Model: geitje  | Group: control  | Size: 50 - Original N: 205 Clean N: 203 Skewness: 0.66 
Metric: sd_perp  | Model: geitje  | Group: control  | Size: 50 - Original N: 205 Clean N: 199 Skewness: 0.675 
Metric: min_perp  | Model: geitje  | Group: control  | Size: 50 - Original N: 205 Clean N: 204 Skewness: 0.192 
Metric: max_perp  | Model: geitje  | Group: control  | Size: 50 - Original N: 205 Clean N: 201 Skewness: 1.119 
Metric: mean_perp  | Model: geitje  | Group: psychosis  | Size: 10 - Original N: 411 Clean N: 406 Skewness: 0.622 
Metric: sd_perp  | Model: geitje  | Group: psychosis  | Size: 10 - Original N: 411 Clean N: 403 Skewness: 1.282 
Metric: min_perp  | Model: geitje  | Group: psychosis  | Size: 10 - Original N: 411 Clean N: 409 Skewness: 0.115 
Metric: max_perp  | Model: geitje  | Group: psychosis  | Size: 10 - Original N: 411 Clean N: 402 Skewness: 1.377 
Metric: mean_perp  | Model: geitje  | Group: psychosis  | Size: 20 - Original N: 411 Clean N: 407 Skewness: 0.627 
Metric: sd_perp  | Model: geitje  | Group: psychosis  | Size: 20 - Original N: 411 Clean N: 407 Skewness: 1.146 
Metric: min_perp  | Model: geitje  | Group: psychosis  | Size: 20 - Original N: 411 Clean N: 407 Skewness: 0.241 
Metric: max_perp  | Model: geitje  | Group: psychosis  | Size: 20 - Original N: 411 Clean N: 403 Skewness: 1.211 
Metric: mean_perp  | Model: geitje  | Group: psychosis  | Size: 30 - Original N: 411 Clean N: 406 Skewness: 0.583 
Metric: sd_perp  | Model: geitje  | Group: psychosis  | Size: 30 - Original N: 411 Clean N: 407 Skewness: 1.026 
Metric: min_perp  | Model: geitje  | Group: psychosis  | Size: 30 - Original N: 411 Clean N: 409 Skewness: 0.568 
Metric: max_perp  | Model: geitje  | Group: psychosis  | Size: 30 - Original N: 411 Clean N: 406 Skewness: 0.968 
Metric: mean_perp  | Model: geitje  | Group: psychosis  | Size: 40 - Original N: 411 Clean N: 406 Skewness: 0.589 
Metric: sd_perp  | Model: geitje  | Group: psychosis  | Size: 40 - Original N: 411 Clean N: 404 Skewness: 0.765 
Metric: min_perp  | Model: geitje  | Group: psychosis  | Size: 40 - Original N: 411 Clean N: 408 Skewness: 0.52 
Metric: max_perp  | Model: geitje  | Group: psychosis  | Size: 40 - Original N: 411 Clean N: 406 Skewness: 0.968 
Metric: mean_perp  | Model: geitje  | Group: psychosis  | Size: 50 - Original N: 411 Clean N: 407 Skewness: 0.637 
Metric: sd_perp  | Model: geitje  | Group: psychosis  | Size: 50 - Original N: 411 Clean N: 404 Skewness: 0.859 
Metric: min_perp  | Model: geitje  | Group: psychosis  | Size: 50 - Original N: 411 Clean N: 407 Skewness: 0.565 
Metric: max_perp  | Model: geitje  | Group: psychosis  | Size: 50 - Original N: 411 Clean N: 406 Skewness: 0.936 
